Player (ITTF ID),Position,Previous Position,Points,Month,Year
AGBETOGLO Mawussi (100154),208,204,1855,Jun,2019
ORT Kilian (116530),209,259,1825,Jun,2019
TOWNSEND Kane (111287),210,207,1823,Jun,2019
VALUCH Alexander (115100),211,210,1786,Jun,2019
TIO Nicholas (122940),212,222,1770,Jun,2019
KUMAR Nikhil (119463),213,211,1750,Jun,2019
LOTFIJANABADI Miad (119927),214,224,1741,Jun,2019
SAMBE Kohei (120313),215,184,1737,Jun,2019
GLOD Eric (117862),216,248,1735,Jun,2019
GALVEZ Samuel (111514),217,213,1726,Jun,2019
ZHOU Kai (117345),218,138,1724,Jun,2019
MLADENOVIC Luka (120074),219,214,1721,Jun,2019
MENGEL Steffen (106050),220,255,1715,Jun,2019
MIKUTIS Tomas (113926),221,216,1713,Jun,2019
VILLA Ricardo (118009),222,198,1700,Jun,2019
GALVANO Nicolas (116321),223,218,1660,Jun,2019
MACHADO Carlos (105666),224,238,1640,Jun,2019
KLEIN Dennis (120066),225,258,1636,Jun,2019
ARVIDSSON Simon (110888),226,208,1635,Jun,2019
HOE Il (115928),227,219,1625,Jun,2019
YANG Heng-Wei (119566),228,186,1615,Jun,2019
LINGEVELDT Kurt (111960),229,225,1590,Jun,2019
GATICA Hector (102983),229,226,1590,Jun,2019
NOVOTA Samuel (115019),231,288,1585,Jun,2019
WANG Eugene ^ (114247),232,227,1580,Jun,2019
GOLOVANOV Stanislav (103159),233,230,1563,Jun,2019
SGOUROPOULOS Ioannis (121693),234,256,1551,Jun,2019
MA Te (117805),235,190,1545,Jun,2019
PAIKOV Mikhail (107071),236,244,1531,Jun,2019
MAZE Michael (105966),237,234,1521,Jun,2019
FANNY Kokou Dodji (118722),238,235,1515,Jun,2019
BROSSIER Benjamin (112445),239,276,1501,Jun,2019
HAIQAL Muhamad Ashraf (115874),240,203,1485,Jun,2019
GOMMERS Rajko (114868),241,237,1481,Jun,2019
NUDDE Florian (123023),241,284,1481,Jun,2019
ARCE Dario (121278),243,241,1465,Jun,2019
SERDAROGLU David (120300),244,221,1460,Jun,2019
LUNDQVIST Jens (105609),245,243,1440,Jun,2019
SHETTY Sanil (108574),246,231,1439,Jun,2019
ZHOLUDEV Denis (117894),247,269,1428,Jun,2019
MARTINEZ Livan (121440),248,246,1425,Jun,2019
BALL Matthew (100877),249,232,1421,Jun,2019
OVERMEYER Shane (107025),250,247,1420,Jun,2019
XU Nathan (131134),251,641,1415,Jun,2019
GUTIERREZ Allan (103329),252,217,1410,Jun,2019
ZHANG Yudong (119813),252,249,1410,Jun,2019
LIU Yebo (121591),254,251,1391,Jun,2019
LEONG Chee Feng (121474),255,228,1390,Jun,2019
BOURIAH Larbi (114202),255,252,1390,Jun,2019
POLANSKY Tomas (116798),257,305,1375,Jun,2019
DHOORIA Rohan (119944),257,985,1375,Jun,2019
IRANI Dinyar (120693),259,253,1368,Jun,2019
MAMIA Thameur (111971),260,254,1365,Jun,2019
WANG Tai-Wei (121492),260,272,1365,Jun,2019
BAEK Hogyun (133717),262,223,1360,Jun,2019
ORREA Cecilio (111696),262,285,1360,Jun,2019
DANI Mudit (116758),264,351,1346,Jun,2019
ABREFA Derek (112642),265,257,1336,Jun,2019
HEN Diogo (114356),266,319,1326,Jun,2019
EVANS Callum (122122),267,286,1311,Jun,2019
SU Zhi (121594),268,153,1310,Jun,2019
SALIFOU Abdel-Kader (108204),268,465,1310,Jun,2019
HIANG Hung-Chieh (101711),270,295,1305,Jun,2019
ARTER Trent (101511),271,263,1298,Jun,2019
ABDEL-AZIZ Youssef (116723),272,265,1270,Jun,2019
FRANCO Carlos (118072),273,293,1268,Jun,2019
YARASHENKA Vadim (119038),274,266,1263,Jun,2019
GHALLAB Aly (113894),275,267,1260,Jun,2019
MAGDY Shady (113893),275,267,1260,Jun,2019
RI Kwang Myong (123077),277,306,1259,Jun,2019
MANHANI Humberto (105801),278,270,1250,Jun,2019
YIGENLER Abdullah (119585),279,309,1249,Jun,2019
VILA Isaac (112125),280,271,1241,Jun,2019
ARINOBU Taimu (114687),281,273,1239,Jun,2019
FALANA Tobi (123148),282,274,1236,Jun,2019
POSCH Lars (121077),283,283,1235,Jun,2019
JIANG Tianyi (104128),284,142,1209,Jun,2019
DELA PENA Alfred (120698),285,278,1203,Jun,2019
LI Hsin-Yang (121577),286,275,1200,Jun,2019
AL-NAGGAR Abdulrahman (118946),287,278,1195,Jun,2019
TAKAMI Masaki (119800),288,250,1192,Jun,2019
KATSMAN Lev (123282),289,406,1186,Jun,2019
IVONIN Denis (120865),290,294,1178,Jun,2019
MATHOLE Terrence (115212),291,281,1165,Jun,2019
OGILL Theo (101879),291,281,1165,Jun,2019
SHING Yoshua (108602),293,262,1156,Jun,2019
HEONG Chi Cheng (122852),294,287,1140,Jun,2019
PICCOLIN Jordy (117006),294,312,1140,Jun,2019
KIM Daewoo (119850),296,264,1135,Jun,2019
TIUTRIUMOV Aleksandr (118888),297,348,1130,Jun,2019
LOI Geoffrey (122814),298,261,1118,Jun,2019
WU Vicky (123935),298,289,1118,Jun,2019
BELROSE Alize (101039),298,290,1118,Jun,2019
ARNET Bydhir (133613),298,290,1118,Jun,2019
AZACU Alexandru (101545),302,370,1093,Jun,2019
KIZUKURI Yuto (119794),303,397,1087,Jun,2019
OLABIYI Monday (106897),304,296,1080,Jun,2019
RAVONISON Stephen (137434),304,296,1080,Jun,2019
BELROSE Ocean (101040),304,,1080,Jun,2019
MONDAL Raj (110669),307,292,1078,Jun,2019
SONE Kakeru (134316),307,333,1078,Jun,2019
SEO Hyundeok (111884),309,659,1075,Jun,2019
OBA Oba Kizito (113472),310,298,1070,Jun,2019
YAN An (113059),311,236,1059,Jun,2019
AHMADIAN Amin (123478),312,369,1053,Jun,2019
ALI Kanate (117950),313,300,1050,Jun,2019
RAKOTOARISOA Setra (131906),313,301,1050,Jun,2019
BHANJA Ronit (123385),315,426,1046,Jun,2019
DE NODREST Leo (123305),316,280,1038,Jun,2019
RISAN Adrian (101979),317,304,1035,Jun,2019
BEN ARI Omri (106948),318,308,1025,Jun,2019
RODRIGUEZ Diego (115142),319,310,1020,Jun,2019
AL-JADAI Naif (100302),320,311,1018,Jun,2019
JEVTOVIC Marko (104115),321,352,1011,Jun,2019
KELBUGANOV Timur (111591),322,328,1006,Jun,2019
MUTTI Matteo (120287),323,316,993,Jun,2019
AMATO Antonino (122067),324,318,987,Jun,2019
HEN Alexander (113914),325,313,985,Jun,2019
LAWAL Abiodun (112685),326,320,981,Jun,2019
TAUBER Michael (112361),327,321,980,Jun,2019
ZIBRAT Jan (110615),328,322,976,Jun,2019
DIDUKH Oleksandr (102242),329,396,971,Jun,2019
KALUZNY Samuel (116697),330,323,970,Jun,2019
LAI Chi-Chien (121487),331,361,955,Jun,2019
HRIBAR Peter (120162),332,452,943,Jun,2019
SUN Chia-Hung (119873),333,307,942,Jun,2019
FENG Yi-Hsin (122727),334,314,935,Jun,2019
BERGLUND Simon (115063),334,377,935,Jun,2019
LAZAZI Mohamed (110852),336,327,925,Jun,2019
JAMIU Azeez Olugbenga (104033),337,330,916,Jun,2019
LIZARAZU Eduardo (123807),338,331,910,Jun,2019
DEVOS Laurens (122001),339,365,903,Jun,2019
RI Jong Sik ^^ (132881),340,406,901,Jun,2019
TAKAKIWA Taku (109188),341,334,900,Jun,2019
ANDRE Elizandro (117937),341,334,900,Jun,2019
DINGANGA Chris (110856),341,334,900,Jun,2019
ALASSANI Soudes (124064),341,334,900,Jun,2019
RAZAFINDRALAMBO Zo (117019),341,334,900,Jun,2019
KOUASSI Ange-Aime (113473),341,334,900,Jun,2019
JOEL Mikael (137433),341,334,900,Jun,2019
KASSA Gedeon (116724),341,334,900,Jun,2019
ANTONIO Alessio (120713),341,334,900,Jun,2019
IBANEZ Italo (103831),341,334,900,Jun,2019
BABOOLALL Muhammad (131822),341,334,900,Jun,2019
TSCHANZ Cedric (133020),352,345,893,Jun,2019
ARNACHELLUM Allan (110924),352,346,893,Jun,2019
HOI Deokhwa (114614),354,413,892,Jun,2019
TIAN Ye ^^ (132616),355,648,875,Jun,2019
YOGARAJAH Akhilen (122207),356,349,870,Jun,2019
KIM Hyong Jin (132239),357,350,867,Jun,2019
PASSARA Pattaratorn (122327),358,299,855,Jun,2019
AKINDIYA Ismaila (123373),359,375,851,Jun,2019
STANKEVICIUS Medardas (116841),360,364,850,Jun,2019
AO Wei (132137),361,354,829,Jun,2019
KNIGHT Tyrese (121740),362,355,824,Jun,2019
NGUYEN Duc Tuan (134912),363,356,823,Jun,2019
XU Yingbin (131148),364,357,820,Jun,2019
ROLLAND Jules (123300),365,447,818,Jun,2019
RECH DALDOSSO Marco (107762),366,373,810,Jun,2019
HOHMEIER Nils (118672),366,471,810,Jun,2019
HELMY Mahmoud (116831),368,410,804,Jun,2019
LI Hon Ming (115548),369,332,798,Jun,2019
GUBRAN Ebrahim Abdulhakim (135910),370,359,795,Jun,2019
FEDOTOV Petr (119205),371,423,793,Jun,2019
BAGGALEY Andrew (100817),372,398,790,Jun,2019
PANG Yew En Koen (131912),373,302,785,Jun,2019
KAZEEM Makanjuola (116826),373,360,785,Jun,2019
XUE Fei (121412),375,242,777,Jun,2019
PINTO Daniele (118920),376,423,773,Jun,2019
HO Daeseong (123971),377,233,767,Jun,2019
YANG Tzu-Yi (121588),378,317,765,Jun,2019
HINBAT Erdenebayar (131982),379,366,753,Jun,2019
HAN YOOK FO Brian (102789),380,367,748,Jun,2019
TAHARA Shogo (137458),381,591,741,Jun,2019
AL-ABBAD Abdulaziz (100234),382,368,736,Jun,2019
ARTEMENKO Nikita (119199),382,473,736,Jun,2019
HODAEI Amir Hossein (131484),384,399,735,Jun,2019
ABO YAMAN Zaid (110674),385,371,730,Jun,2019
PONTOISE Jason (132955),386,372,728,Jun,2019
DJAMAL Ahmed (123784),387,375,721,Jun,2019
HOONG Javen (131932),388,378,720,Jun,2019
SULTAN Godfrey (109064),388,379,720,Jun,2019
SK. HOSSEIN Zayyan (131813),388,380,720,Jun,2019
ERFEM Tekle (137432),388,380,720,Jun,2019
REA Mick (122228),388,380,720,Jun,2019
KIASSI Regis (120787),388,380,720,Jun,2019
AHMED Mohammad (120794),388,380,720,Jun,2019
NASIRU Kazeem (106786),388,380,720,Jun,2019
BANANE Dorian (131808),388,380,720,Jun,2019
ASSOU Atarou (133661),388,380,720,Jun,2019
SAHAJASEIN Ryan (137429),388,380,720,Jun,2019
LUKATIKISU Beni (112888),388,380,720,Jun,2019
ESTHER Nicholas (120757),388,380,720,Jun,2019
DESSCANN Ryan (131815),388,380,720,Jun,2019
NTUMBA NGELEKA Christian (110860),388,380,720,Jun,2019
MBONGIA Christian (134971),388,380,720,Jun,2019
SOUNOU Ferdinand (115163),388,380,720,Jun,2019
BRINGAUD Andy (133693),388,380,720,Jun,2019
REMBERT Bastien (122095),406,324,718,Jun,2019
PUTUNTICA Andrei (117865),407,535,716,Jun,2019
KASHIWA Takeru (123882),408,450,710,Jun,2019
KIM Byunghyeon (123057),409,474,705,Jun,2019
HEW Zhe Yu Clarence (113395),410,485,700,Jun,2019
JI Jiale (122877),411,402,699,Jun,2019
MASIP Joan (120872),412,486,698,Jun,2019
BOULOUSSA Mehdi (113679),413,403,693,Jun,2019
ABALLERO Carlos (120052),414,460,688,Jun,2019
MARTINKO Jiri (120267),415,405,683,Jun,2019
KIM Jin Su (115780),416,406,676,Jun,2019
LARA Miguel (113070),417,329,675,Jun,2019
POH Shao Feng Ethan (120318),417,404,675,Jun,2019
GREBENIUK Andrii (133953),419,412,668,Jun,2019
MATSUDAIRA Kenji (111033),420,461,666,Jun,2019
SANTOSO Ficky (112040),421,401,665,Jun,2019
YADAV Abhishek (112860),422,469,661,Jun,2019
PICIULIN Gabriele (122047),423,590,658,Jun,2019
HAMIE Mohamad (120239),424,415,655,Jun,2019
ICHINOSE Takumi (137724),424,531,655,Jun,2019
AJI Donny (116926),426,411,650,Jun,2019
BU SHULAYBI Abdulaziz (115118),427,490,648,Jun,2019
RO Kwang Jin (132237),428,416,643,Jun,2019
