Country,Player (ITTF ID),Position,Previous Position,Points,Month,Year
TAHITI,ARNET Bydhir (133613),298,290,1118,Jun,2019
ROMANIA,AZACU Alexandru (101545),302,370,1093,Jun,2019
JAPAN,KIZUKURI Yuto (119794),303,397,1087,Jun,2019
BENIN,OLABIYI Monday (106897),304,296,1080,Jun,2019
MADAGASCAR,RAVONISON Stephen (137434),304,296,1080,Jun,2019
TAHITI,BELROSE Ocean (101040),304,,1080,Jun,2019
INDIA,MONDAL Raj (110669),307,292,1078,Jun,2019
JAPAN,SONE Kakeru (134316),307,333,1078,Jun,2019
REPUBLIC OF KOREA,SEO Hyundeok (111884),309,659,1075,Jun,2019
COTE D'IVOIRE,OBA Oba Kizito (113472),310,298,1070,Jun,2019
CHINA,YAN An (113059),311,236,1059,Jun,2019
IRAN,AHMADIAN Amin (123478),312,369,1053,Jun,2019
COTE D'IVOIRE,ALI Kanate (117950),313,300,1050,Jun,2019
MADAGASCAR,RAKOTOARISOA Setra (131906),313,301,1050,Jun,2019
INDIA,BHANJA Ronit (123385),315,426,1046,Jun,2019
FRANCE,DE NODREST Leo (123305),316,280,1038,Jun,2019
ROMANIA,RISAN Adrian (101979),317,304,1035,Jun,2019
ISRAEL,BEN ARI Omri (106948),318,308,1025,Jun,2019
PERU,RODRIGUEZ Diego (115142),319,310,1020,Jun,2019
SAUDI ARABIA,AL-JADAI Naif (100302),320,311,1018,Jun,2019
SERBIA,JEVTOVIC Marko (104115),321,352,1011,Jun,2019
KAZAKHSTAN,KELBUGANOV Timur (111591),322,328,1006,Jun,2019
ITALY,MUTTI Matteo (120287),323,316,993,Jun,2019
ITALY,AMATO Antonino (122067),324,318,987,Jun,2019
AUSTRIA,HEN Alexander (113914),325,313,985,Jun,2019
CONGO BRAZZAVILLE,LAWAL Abiodun (112685),326,320,981,Jun,2019
ISRAEL,TAUBER Michael (112361),327,321,980,Jun,2019
SLOVENIA,ZIBRAT Jan (110615),328,322,976,Jun,2019
UKRAINE,DIDUKH Oleksandr (102242),329,396,971,Jun,2019
SLOVAKIA,KALUZNY Samuel (116697),330,323,970,Jun,2019
CHINESE TAIPEI,LAI Chi-Chien (121487),331,361,955,Jun,2019
SLOVENIA,HRIBAR Peter (120162),332,452,943,Jun,2019
CHINESE TAIPEI,SUN Chia-Hung (119873),333,307,942,Jun,2019
CHINESE TAIPEI,FENG Yi-Hsin (122727),334,314,935,Jun,2019
SWEDEN,BERGLUND Simon (115063),334,377,935,Jun,2019
ALGERIA,LAZAZI Mohamed (110852),336,327,925,Jun,2019
