Country,Player (ITTF ID),Position,Previous Position,Points,Month,Year
SEYCHELLES,SULTAN Godfrey (109064),388,379,720,Jun,2019
MAURITIUS,SK. HOSSEIN Zayyan (131813),388,380,720,Jun,2019
ERITREA,ERFEM Tekle (137432),388,380,720,Jun,2019
SEYCHELLES,REA Mick (122228),388,380,720,Jun,2019
CONGO BRAZZAVILLE,KIASSI Regis (120787),388,380,720,Jun,2019
MAURITIUS,AHMED Mohammad (120794),388,380,720,Jun,2019
NIGERIA,NASIRU Kazeem (106786),388,380,720,Jun,2019
SEYCHELLES,BANANE Dorian (131808),388,380,720,Jun,2019
TOGO,ASSOU Atarou (133661),388,380,720,Jun,2019
MAURITIUS,SAHAJASEIN Ryan (137429),388,380,720,Jun,2019
CONGO DEMOCRATIC,LUKATIKISU Beni (112888),388,380,720,Jun,2019
SEYCHELLES,ESTHER Nicholas (120757),388,380,720,Jun,2019
MAURITIUS,DESSCANN Ryan (131815),388,380,720,Jun,2019
CONGO DEMOCRATIC,NTUMBA NGELEKA Christian (110860),388,380,720,Jun,2019
CONGO DEMOCRATIC,MBONGIA Christian (134971),388,380,720,Jun,2019
BENIN,SOUNOU Ferdinand (115163),388,380,720,Jun,2019
GABON,BRINGAUD Andy (133693),388,380,720,Jun,2019
FRANCE,REMBERT Bastien (122095),406,324,718,Jun,2019
MOLDOVA,PUTUNTICA Andrei (117865),407,535,716,Jun,2019
JAPAN,KASHIWA Takeru (123882),408,450,710,Jun,2019
REPUBLIC OF KOREA,KIM Byunghyeon (123057),409,474,705,Jun,2019
SINGAPORE,HEW Zhe Yu Clarence (113395),410,485,700,Jun,2019
CHINA,JI Jiale (122877),411,402,699,Jun,2019
SPAIN,MASIP Joan (120872),412,486,698,Jun,2019
FRANCE,BOULOUSSA Mehdi (113679),413,403,693,Jun,2019
SPAIN,ABALLERO Carlos (120052),414,460,688,Jun,2019
CZECH REPUBLIC,MARTINKO Jiri (120267),415,405,683,Jun,2019
DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,KIM Jin Su (115780),416,406,676,Jun,2019
MEXICO,LARA Miguel (113070),417,329,675,Jun,2019
SINGAPORE,POH Shao Feng Ethan (120318),417,404,675,Jun,2019
UKRAINE,GREBENIUK Andrii (133953),419,412,668,Jun,2019
JAPAN,MATSUDAIRA Kenji (111033),420,461,666,Jun,2019
INDONESIA,SANTOSO Ficky (112040),421,401,665,Jun,2019
INDIA,YADAV Abhishek (112860),422,469,661,Jun,2019
ITALY,PICIULIN Gabriele (122047),423,590,658,Jun,2019
LEBANON,HAMIE Mohamad (120239),424,415,655,Jun,2019
JAPAN,ICHINOSE Takumi (137724),424,531,655,Jun,2019
INDONESIA,AJI Donny (116926),426,411,650,Jun,2019
SAUDI ARABIA,BU SHULAYBI Abdulaziz (115118),427,490,648,Jun,2019
DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,RO Kwang Jin (132237),428,416,643,Jun,2019
IRAN,NOROOZI Afshin (106784),429,409,640,Jun,2019
ANGOLA,MANUEL Domingos (110929),429,417,640,Jun,2019
ARGENTINA,TABACHNIK Pablo (109151),429,417,640,Jun,2019
LITHUANIA,LESIV Rimas (116840),432,358,638,Jun,2019
JAPAN,TAZOE Kenta (113340),433,362,637,Jun,2019
YEMEN,ALI Omar (110989),434,419,633,Jun,2019
SWEDEN,SODERLUND Simon (118962),435,420,631,Jun,2019
DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,KIM Song Gun (132883),436,421,629,Jun,2019
TUNISIA,HMAM Adam (103621),437,422,624,Jun,2019
MACAO,XIAO Zikang (123343),438,427,620,Jun,2019
LITHUANIA,UDRA Alfredas (111219),438,428,620,Jun,2019
CHINESE TAIPEI,LEE Chia-Sheng (114123),440,425,617,Jun,2019
HUNGARY,KOVACS Sebestyen (114859),441,536,610,Jun,2019
FINLAND,NAUMI Alex (120674),442,352,601,Jun,2019
FRANCE,BERTRAND Irvin (119092),443,315,600,Jun,2019
SWEDEN,BRODD Viktor (112073),443,430,600,Jun,2019
PUERTO RICO,JIMENEZ Ricardo (115232),445,431,594,Jun,2019
LUXEMBOURG,MICHELY Gilles (106095),446,432,590,Jun,2019
INDIA,PANDE Siddhesh (123221),446,622,590,Jun,2019
CROATIA,KOLAREK Tomislav (104774),446,655,590,Jun,2019
CHINA,SUN Zheng (136587),449,433,586,Jun,2019
CHINA,ZHU Shusheng (136615),449,433,586,Jun,2019
ROMANIA,SINGEORZAN Bogdan (120093),451,586,583,Jun,2019
SLOVAKIA,KEINATH Thomas (104462),452,495,582,Jun,2019
UZBEKISTAN,TESHABOEV Kutbidillo (115060),453,438,580,Jun,2019
POLAND,KUBIK Maciej (131671),454,503,576,Jun,2019
RUSSIA,GREBNEV Maksim (123931),454,504,576,Jun,2019
PORTUGAL,SILVA Andre (108667),456,572,575,Jun,2019
CHINESE TAIPEI,YEH Chih-Wei (112599),456,808,575,Jun,2019
UNITED ARAB EMIRATES,ALBALUSHI Salah (118108),458,440,570,Jun,2019
JAPAN,MACHI Asuka (111826),459,,565,Jun,2019
VIETNAM,NGUYEN Van Ngoc (123494),460,441,563,Jun,2019
GUYANA,FRANKLIN Christopher (102827),461,444,556,Jun,2019
UKRAINE,YEFIMOV Viktor (110367),461,475,556,Jun,2019
BELGIUM,DARCIS Thibaut (119037),463,477,551,Jun,2019
CHINA,NIU Guankai (134239),464,439,550,Jun,2019
RUSSIA,HERNOV Konstantin (115048),465,442,548,Jun,2019
CONGO DEMOCRATIC,BIZAKU Jonathan (112889),466,446,545,Jun,2019
GREECE,ANGELAKIS Konstantinos (116675),467,448,541,Jun,2019
REPUBLIC OF KOREA,HOI Inhyeok (132171),468,303,540,Jun,2019
SWEDEN,ANDERSSON Harald (112738),468,449,540,Jun,2019
NEW CALEDONIA,AUBRY Ronan (132167),468,450,540,Jun,2019
SPAIN,VILCHEZ Miguel (116213),471,587,536,Jun,2019
ISRAEL,SIMON Mathan (116839),472,453,533,Jun,2019
KAZAKHSTAN,ZHAMAL Bekulan (117893),472,484,533,Jun,2019
JAPAN,SADAMATSU Yusuke (131365),474,454,530,Jun,2019
SLOVAKIA,SPANIK Tibor (120284),474,530,530,Jun,2019
GUYANA,BRITTON Shemar (122503),476,456,526,Jun,2019
FRANCE,ASSIN Alexandre (117003),477,277,525,Jun,2019
PHILLIPINES,NAYRE Jann Mari (123864),477,457,525,Jun,2019
LAOS,MOSANGSINH Sonpasith (132869),477,458,525,Jun,2019
PAKISTAN,QURESHI Asim (107635),477,458,525,Jun,2019
FRANCE,OUAICHE Stephane (113685),481,749,520,Jun,2019
NORWAY,HAUG Borgar (131211),482,374,513,Jun,2019
GERMANY,QIU Liang (114928),483,496,511,Jun,2019
CHINA,XU Haidong (133893),484,454,510,Jun,2019
ISRAEL,SHUSTERMAN Yonatan (123948),484,462,510,Jun,2019
GERMANY,BAUM Patrick (100982),484,463,510,Jun,2019
SENEGAL,DIAW Ibrahima (113681),484,,510,Jun,2019
CZECH REPUBLIC,KLOS Patrik (120265),488,464,508,Jun,2019
BELGIUM,DEGROS Nicolas (131376),489,500,505,Jun,2019
AUSTRIA,FRIEDRICH Christian (121857),490,572,500,Jun,2019
NIGERIA,ADEYINKA Hammed (114704),491,466,496,Jun,2019
BARBADOS,DOWELL Mark (102367),492,467,493,Jun,2019
BARBADOS,SMITH Marcus (121741),492,467,493,Jun,2019
AUSTRIA,GRININGER Thomas (118665),492,569,493,Jun,2019
GUATEMALA,MONTUFAR Kevin (112713),495,400,488,Jun,2019
PUERTO RICO,GONZALEZ Yomar (116421),496,472,483,Jun,2019
CYPRUS,YIANGOU Marios (110768),497,476,470,Jun,2019
JAPAN,TSUBOI Yuma (120851),497,579,470,Jun,2019
INDIA,BORO Birdie (119536),497,756,470,Jun,2019
BELGIUM,PIERAERT Valentin (121025),500,542,468,Jun,2019
SRI LANKA,RANASINGHA Imesh (117903),501,478,465,Jun,2019
SRI LANKA,SIRISENA Rohan (108728),501,479,465,Jun,2019
UNITED STATES OF AMERICA,LIU Victor (122426),503,480,463,Jun,2019
RUSSIA,NIKULIN Ivan (120602),504,786,458,Jun,2019
PERU,BLAS Bryan (101168),505,481,453,Jun,2019
VENEZUELA,NAVAS Marco (106600),506,482,450,Jun,2019
INDIA,GANDHI Sarthak (117032),506,482,450,Jun,2019
INDIA,GROVER Sudhanshu (117350),508,630,448,Jun,2019
REPUBLIC OF KOREA,SON Suk Hyun (132008),509,559,445,Jun,2019
REPUBLIC OF KOREA,KWAK Yu Bin (132696),509,561,445,Jun,2019
PORTUGAL,FRANCISCO Jose Pedro (122843),511,555,440,Jun,2019
SAN MARINO,GIARDI Federico (121073),512,556,438,Jun,2019
UNITED STATES OF AMERICA,MA Jinbao ^^ (135745),513,625,437,Jun,2019
ENGLAND,MCBEATH David (112284),514,488,435,Jun,2019
CROATIA,ZELJKO Filip (116680),514,855,435,Jun,2019
DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,KANG Wi Hun (117800),516,492,430,Jun,2019
FINLAND,TENNILA Otto (113134),516,492,430,Jun,2019
NIGERIA,AJULO Olakunle (100211),518,494,429,Jun,2019
HONG KONG,KWAN Man Ho (115545),519,967,428,Jun,2019
CHILE,VALENZUELA David (122683),520,608,425,Jun,2019
GERMANY,MEISSNER Cedric (133455),520,651,425,Jun,2019
ITALY,HEN Shuainan ^^ (135675),520,755,425,Jun,2019
REPUBLIC OF KOREA,HO Jaejun (113391),520,,425,Jun,2019
AUSTRIA,KAPOLNEK Narayan (123281),524,537,421,Jun,2019
SWEDEN,SODERLUND Hampus (112075),525,429,420,Jun,2019
RUSSIA,VLASOV Grigory (109865),525,498,420,Jun,2019
PAKISTAN,RAMEEZ Muhammad (112677),525,499,420,Jun,2019
MALDIVES,AHMED Moosa (100196),525,500,420,Jun,2019
QATAR,AL-MOHANNADI Ahmad Khalil (137380),529,502,411,Jun,2019
SAN MARINO,BERARDI Mattia (113289),530,576,410,Jun,2019
SPAIN,BENITO Javier (114353),530,645,410,Jun,2019
RUSSIA,GUSEV Arseniy (120848),532,504,406,Jun,2019
CHINA,WANG Xinyang (136996),532,504,406,Jun,2019
CHINA,WANG Shaobo (136995),532,504,406,Jun,2019
NIGERIA,ABDULLAHI Abdulrahman (123121),532,504,406,Jun,2019
NIGERIA,TIJANI Yusuff Adewale (123177),532,504,406,Jun,2019
NIGERIA,AKANBI Rilwan (123128),532,504,406,Jun,2019
CHINA,SHEN Zhesong (137540),532,504,406,Jun,2019
NIGERIA,HASSAN Nurudeen (123153),532,504,406,Jun,2019
NIGERIA,OMOTARA Ayo (123169),532,504,406,Jun,2019
NIGERIA,OYETAYO Sola (123172),532,504,406,Jun,2019
NIGERIA,SOLANKE Azeez (123175),532,504,406,Jun,2019
CHINA,LIU Jialiang (136994),532,504,406,Jun,2019
NIGERIA,AYANWALE Jamiu (133734),532,504,406,Jun,2019
NIGERIA,OMEH Amadi (132026),532,504,406,Jun,2019
NIGERIA,OGINI Olasunkanmi (120025),532,504,406,Jun,2019
NIGERIA,OLADIRAN Joshua (120026),532,504,406,Jun,2019
CHINA,LIU Jia (137546),532,504,406,Jun,2019
HUNGARY,ANDRAS Csaba (123019),549,525,405,Jun,2019
CANADA,LEHMANN Matthew (121097),549,709,405,Jun,2019
VIETNAM,DOAN Ba Tuan Anh (115791),551,528,403,Jun,2019
RUSSIA,HAPLYGIN Maxim (118890),551,650,403,Jun,2019
BULGARIA,KODJABASHEV Denislav (112950),553,634,398,Jun,2019
REPUBLIC OF KOREA,PARK Gyeongtae (123976),554,969,397,Jun,2019
CHINESE TAIPEI,HEN Chun-Hsiang (121483),555,526,395,Jun,2019
UNITED STATES OF AMERICA,ZHANG Kai ^ (122585),556,708,391,Jun,2019
PANAMA,AVI-TAL Omer (111509),557,532,390,Jun,2019
JORDAN,ALDMAISY Zeyad (114323),557,539,390,Jun,2019
CZECH REPUBLIC,KUCERA Stanislav (120266),559,540,388,Jun,2019
RUSSIA,ABUSEV Artur (120314),560,529,385,Jun,2019
NORWAY,WETZEL Adrian (122674),560,824,385,Jun,2019
BELARUS,SHAMRUK Gleb (114976),562,541,384,Jun,2019
NIGERIA,OGIDAN Kehinde (137146),563,542,383,Jun,2019
NIGERIA,AUGUSTINE Emmanuel (133732),563,542,383,Jun,2019
NIGERIA,OLANIYI Olawale (131824),563,542,383,Jun,2019
NIGERIA,FAYELE David (123151),563,542,383,Jun,2019
NIGERIA,ETIM Orok (133746),563,542,383,Jun,2019
NIGERIA,AGBAJE Shamusi (137010),563,542,383,Jun,2019
NIGERIA,FAGBAMILA Akinwale (118702),563,542,383,Jun,2019
ECUADOR,RIOFRIO Emiliano (120896),563,551,383,Jun,2019
COLOMBIA,VILLEGAS Joaquin (113761),571,552,380,Jun,2019
CUBA,RONDON Juan Damian (111017),571,552,380,Jun,2019
SAN MARINO,MONGIUSTI Mattias (132196),573,593,378,Jun,2019
GREECE,PAPAGEORGIOU Konstantinos (107138),574,554,375,Jun,2019
CHINESE TAIPEI,TSAI Chun-Yu (121490),574,662,375,Jun,2019
ROMANIA,MLADIN Paul (132217),574,733,375,Jun,2019
RUSSIA,SEMENOV Andrey (115054),577,624,373,Jun,2019
COLOMBIA,RAMOS Julian (107707),578,557,370,Jun,2019
OMAN,AL-MANDHARI Haitham (134816),578,558,370,Jun,2019
IRAN,AMIRI NIA Soroosh (116748),578,855,370,Jun,2019
SERBIA,LEVAJAC Dimitrije (123192),578,855,370,Jun,2019
SWEDEN,NORDBERG Hampus (106777),582,414,360,Jun,2019
FIJI ISLANDS,WING Philip (121015),582,560,360,Jun,2019
CHINA,LIU Yu (137287),582,561,360,Jun,2019
CHINA,XU Chenhao (117343),582,561,360,Jun,2019
JAPAN,ASAZU Aoto (122387),582,561,360,Jun,2019
HUNGARY,JUHASZ Patrik (123018),582,568,360,Jun,2019
JAPAN,FUJIMURA Tomoya (120232),588,570,355,Jun,2019
ARGENTINA,SANCHI Francisco (117530),589,571,350,Jun,2019
PORTUGAL,SILVA Diogo (108671),589,572,350,Jun,2019
SERBIA,GACEV Aleksa (123204),591,863,345,Jun,2019
ALGERIA,BELKADI Aissa (101031),592,577,343,Jun,2019
CHINESE TAIPEI,HUANG Yan-Cheng (124572),593,,340,Jun,2019
REPUBLIC OF KOREA,OH Minseo (122764),593,,340,Jun,2019
CHINA,ZHANG Haipu (137549),595,580,339,Jun,2019
PUERTO RICO,TORRES Derek ^^ (135787),596,581,336,Jun,2019
RUSSIA,ISAKOV Ilya (120771),597,638,335,Jun,2019
BELARUS,RUKLIATSOU Uladzislau (122679),598,583,331,Jun,2019
CHINA,SUN Wen (137733),599,584,330,Jun,2019
RUSSIA,KISELEV Maksim (120864),600,585,323,Jun,2019
DOMINICAN REPUBLIC,LOCKWARD Mariano (122537),601,588,320,Jun,2019
MADAGASCAR,RASOLOMALALA Rado (132838),601,589,320,Jun,2019
PANAMA,VAHNISH Jacobo (122894),601,808,320,Jun,2019
FRANCE,RUIZ Romain (116641),601,808,320,Jun,2019
CROATIA,IPIN Filip (112451),605,713,318,Jun,2019
NIGERIA,GHAZAL Qudus (137013),606,591,316,Jun,2019
SERBIA,LUPULESKU Lorencio (110819),607,906,313,Jun,2019
SRI LANKA,WIKKRAMARATHNA Rashmika Krishan (134137),608,594,310,Jun,2019
HONDURAS,MORAZAN Alfredo (123375),608,594,310,Jun,2019
VENEZUELA,MILLAN Angelo (123572),608,594,310,Jun,2019
GUYANA,BRYAN Nigel (114389),608,594,310,Jun,2019
GREECE,KONSTANTINOPOULOS Giorgos (114028),608,660,310,Jun,2019
SWITZERLAND,GIROD Dorian (131676),608,666,310,Jun,2019
JERSEY,WYKES Jordan (122165),614,599,308,Jun,2019
DOMINICAN REPUBLIC,WU Jiaji ^ (117330),615,600,305,Jun,2019
TURKEY,GUL Ali Afsin (131483),615,601,305,Jun,2019
SERBIA,PETKOV Marko (111828),615,601,305,Jun,2019
BULGARIA,ALEXANDROV Teodor (112952),618,603,303,Jun,2019
CANADA,YEUNG Terence (121166),619,604,301,Jun,2019
JAPAN,KORIYAMA Hokuto (123846),620,347,300,Jun,2019
CHINESE TAIPEI,HUANG Chien-Tu (119603),620,443,300,Jun,2019
ENGLAND,MABEY Samuel (118838),620,605,300,Jun,2019
SWEDEN,KIPPEL Viggo (120096),620,606,300,Jun,2019
GERMANY,OEHME Benno (136567),620,863,300,Jun,2019
INDIA,SURAVAJJULA Snehit (123680),620,,300,Jun,2019
THAILAND,PANAGITGUN Yanapong (120937),626,582,295,Jun,2019
CANADA,BERNADET Antoine (120282),626,607,295,Jun,2019
PORTUGAL,PINHO Diogo (107429),626,608,295,Jun,2019
GREECE,KONSTANTINOPOULOS Konstantinos (114027),626,610,295,Jun,2019
BELGIUM,RASSENFOSSE Adrien (123659),626,691,295,Jun,2019
NIGERIA,ELETU Taiwo (137076),631,611,293,Jun,2019
NIGERIA,ABIOLA Kaminu Ademola (123125),631,611,293,Jun,2019
NIGERIA,AYODELE Idowu (137077),631,611,293,Jun,2019
NIGERIA,OLORUNTADE Adeola (123168),631,611,293,Jun,2019
NIGERIA,OLADELE Kehinde (123165),631,611,293,Jun,2019
NIGERIA,ADENIYI Kazeem (100126),631,611,293,Jun,2019
INDIA,HANDRA Jeet (123386),637,883,290,Jun,2019
SPAIN,MARTINEZ Guillermo (117001),638,623,288,Jun,2019
SLOVAKIA,ORAC Daniel (121871),638,694,288,Jun,2019
SPAIN,SORIA Javier (122277),640,628,280,Jun,2019
ITALY,ROSSI Carlo (120285),640,913,280,Jun,2019
JAPAN,KANOYA Ryohei (123262),642,629,279,Jun,2019
REPUBLIC OF KOREA,HWANG Jinha (133699),643,1018,275,Jun,2019
REPUBLIC OF KOREA,KANG Dongsoo (120845),643,1018,275,Jun,2019
DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,RO Hyon Song (132238),645,973,271,Jun,2019
BELGIUM,SWARTENBROUCKX Gaetan (121510),646,632,270,Jun,2019
SWEDEN,THIMON Jonathan (123568),646,632,270,Jun,2019
BULGARIA,TODOROV Stefan (121682),648,635,265,Jun,2019
BELGIUM,OMELIAU David (123660),648,735,265,Jun,2019
REPUBLIC OF KOREA,PARK Minjun (133706),648,735,265,Jun,2019
JAPAN,TAZOE Hibiki (136114),651,363,255,Jun,2019
REPUBLIC OF KOREA,KIM Jangwon (123974),651,611,255,Jun,2019
VIETNAM,DINH Quang Linh (102272),651,637,255,Jun,2019
INDIA,JAIN Payas (131917),651,756,255,Jun,2019
SLOVENIA,VETKO Tilen (120157),651,,255,Jun,2019
UNITED STATES OF AMERICA,FENG Yijun (119021),656,627,250,Jun,2019
SPAIN,NUNEZ Miguel (131782),656,638,250,Jun,2019
ROMANIA,SPELBUS Alin (114719),656,773,250,Jun,2019
JAPAN,ATSUYA Takeshi (119257),659,640,249,Jun,2019
MONTENEGRO,RADOVIC Filip (119579),660,778,248,Jun,2019
SLOVAKIA,ZELINKA Jakub (121869),661,908,246,Jun,2019
PERU,HAVEZ Johan (115141),662,735,245,Jun,2019
SWITZERLAND,REBETEZ Yoan (131845),662,735,245,Jun,2019
ISRAEL,BEN-ARI Aviv (121060),664,642,243,Jun,2019
UKRAINE,NADOLNYY Yuriy (122367),664,1085,243,Jun,2019
INDONESIA,PURKANI Luki Muhammad (131896),666,636,240,Jun,2019
BULGARIA,KRASTEV Petyo (114005),666,643,240,Jun,2019
IRELAND,ATHCART Owen (122642),666,644,240,Jun,2019
FRANCE,LAVERGNE Paul (105098),666,646,240,Jun,2019
MALAYSIA,HIN Wen Jie (132193),666,646,240,Jun,2019
OMAN,AL BALUSHI Muhannad (132462),671,649,235,Jun,2019
CHILE,BURGOS Nicolas (133441),671,,235,Jun,2019
SWEDEN,AKERSTROM Fabian (100217),671,,235,Jun,2019
SINGAPORE,HUA Josh Shao Han (133850),674,754,230,Jun,2019
CYPRUS,HRISTONOV Hristo (115541),675,652,229,Jun,2019
BAHRAIN,YESSI Ilyes (137331),676,653,228,Jun,2019
ESTONIA,VAINULA Vallot (109691),677,489,225,Jun,2019
JAPAN,KAKITSUKA Masato (117354),677,656,225,Jun,2019
BOSNIA & HERZEGOVINA,MATKOVIC Luka (122631),677,657,225,Jun,2019
VENEZUELA,MEDINA Jan (113509),677,658,225,Jun,2019
KYRGYZSTAN,AITAHUNOV Abdyljan (144107),677,661,225,Jun,2019
MONTENEGRO,EKIC Irfan (113446),677,662,225,Jun,2019
PARAGUAY,GAVILAN Axel (111730),677,662,225,Jun,2019
LEBANON,HEAIB Dauud (120133),677,665,225,Jun,2019
POLAND,HOJNOWSKI Patryk (101781),677,667,225,Jun,2019
ESTONIA,SMIRNOV Aleksandr (108779),677,668,225,Jun,2019
MOLDOVA,URSU Vladislav (122320),677,669,225,Jun,2019
NEW ZEALAND,HETHERINGTON Matthew (103585),677,670,225,Jun,2019
INDIA,GHOSH Arjun (121912),689,491,223,Jun,2019
SWITZERLAND,TAFFE Yanick (133016),689,787,223,Jun,2019
KAZAKHSTAN,KENZHIGULOV Aidos (131150),689,918,223,Jun,2019
OMAN,ALRAISI Asad (132918),692,671,220,Jun,2019
CHINA,SAI Linwei (135674),692,671,220,Jun,2019
CHINA,XIANG Peng (135888),692,671,220,Jun,2019
CHINA,YU Heyi (133828),692,671,220,Jun,2019
UNITED ARAB EMIRATES,ALBALOOSHI Abdulla (116709),692,676,220,Jun,2019
KYRGYZSTAN,SAGYNDYKOV Talgat (112302),692,676,220,Jun,2019
NEPAL,SHRESTHA Santoo (132915),692,676,220,Jun,2019
SERBIA,MAJSTOROVIC Ilija (114874),692,855,220,Jun,2019
SERBIA,KATIC Ivor (114985),692,855,220,Jun,2019
JAPAN,SHIMOYAMA Yuki (137784),701,679,219,Jun,2019
KAZAKHSTAN,SARSEMBAYEV Dias (115924),702,682,218,Jun,2019
GREECE,KREANGA Kalinikos (104892),702,683,218,Jun,2019
LEBANON,HOUAIEB Dawoud (137356),704,684,216,Jun,2019
DOMINICAN REPUBLIC,TEJADA Abit (132114),704,684,216,Jun,2019
JAPAN,UEZU Koji (122021),704,684,216,Jun,2019
ALGERIA,BOURBEH Arbi (137323),704,684,216,Jun,2019
SLOVAKIA,BRAT Adam (116551),704,961,216,Jun,2019
MOLDOVA,ISSA Victor (117864),709,689,215,Jun,2019
ENGLAND,DAISH Matthew (135656),709,,215,Jun,2019
TRINIDAD AND TOBAGO,DOOKRAM Yuvraaj (124253),711,690,213,Jun,2019
SERBIA,REPULJA Bojan (111827),712,877,210,Jun,2019
SPAIN,DE LAS HERAS Rafael (133042),713,692,205,Jun,2019
LUXEMBOURG,HUBERTY Dennis (132214),713,883,205,Jun,2019
SWEDEN,SANDSTROM Per (131123),715,538,203,Jun,2019
DENMARK,DILLING Andreas (120099),715,693,203,Jun,2019
VENEZUELA,VILLANUEVA Nelson (121953),715,694,203,Jun,2019
FRANCE,DE SAINTILAN Mathieu (134439),715,694,203,Jun,2019
PERU,HIDALGO Rodrigo (122607),719,700,200,Jun,2019
RUSSIA,MERZLIKIN Taras (106062),719,700,200,Jun,2019
BELGIUM,JEAN Lauric (104087),721,703,195,Jun,2019
SWEDEN,FRIIS Martin (122043),721,704,195,Jun,2019
SINGAPORE,BEH Kun Ting (123578),721,985,195,Jun,2019
SERBIA,STRUGAREVIC Nikola (121711),721,,195,Jun,2019
YEMEN,AL-DHUBHANI Muneer (113400),725,705,194,Jun,2019
REPUBLIC OF KOREA,SEO Hongchan (133577),726,1018,190,Jun,2019
JAPAN,MURAI Kei (137786),727,710,189,Jun,2019
CHINA,LI Jian ^^ (132554),727,710,189,Jun,2019
LATVIA,REINHOLDS Arturs (107791),729,534,188,Jun,2019
JAMAICA,TOMLINSON Simon (113839),730,714,186,Jun,2019
BARBADOS,FARLEY Kevin (102680),730,715,186,Jun,2019
UNITED STATES OF AMERICA,JU Mingwei ^^ (135749),730,715,186,Jun,2019
ROMANIA,MANOLE Alexandru (118847),733,1046,185,Jun,2019
JAMAICA,WATSON Kane (110035),734,722,183,Jun,2019
TRINIDAD AND TOBAGO,HUMPHREYS Curtis (103778),734,723,183,Jun,2019
FRANCE,DELEPINE Samuel ^^ (134405),734,723,183,Jun,2019
UNITED STATES OF AMERICA,TAO Wenzhang ^^ (117340),737,700,180,Jun,2019
POLAND,ZANDECKI Jan (123905),737,730,180,Jun,2019
VANUATU,LULU Ham (105604),737,731,180,Jun,2019
MAURITIUS,TAUCOORY Rhikesh (109290),737,731,180,Jun,2019
RUSSIA,MUTYGULLIN Ramil (113130),737,733,180,Jun,2019
REPUBLIC OF KOREA,LEE Gihun (133839),737,735,180,Jun,2019
CHINA,XIA Yizheng (122804),737,735,180,Jun,2019
CZECH REPUBLIC,KLEPRLIK Jakub (104690),737,735,180,Jun,2019
BELGIUM,KOSOLOSKY Olav (123560),737,735,180,Jun,2019
TOGO,LAWSON-GAIZER Fessou (105109),737,735,180,Jun,2019
FRANCE,REUSEAU Nicolas (118491),737,735,180,Jun,2019
JAPAN,ENDO Ryoma (137723),737,735,180,Jun,2019
REPUBLIC OF KOREA,PARK Changgeon (137726),737,735,180,Jun,2019
POLAND,KULCZYCKI Samuel (121031),737,735,180,Jun,2019
COLOMBIA,GIRALDO Juan (113734),737,735,180,Jun,2019
UNITED STATES OF AMERICA,HEN Baiyu ^^ (124397),752,750,176,Jun,2019
LUXEMBOURG,DIELISSEN Marc (102245),753,751,175,Jun,2019
SPAIN,AYUSO Angel (133033),753,751,175,Jun,2019
CONGO BRAZZAVILLE,MAVOUNGOU Benoit (105955),753,753,175,Jun,2019
SINGAPORE,TAN Lucas (122546),753,907,175,Jun,2019
TOGO,SALLAH DUSE Maurice (108209),757,756,170,Jun,2019
UZBEKISTAN,LEVCHENKO Gennadiy (123080),757,756,170,Jun,2019
KUWAIT,AL-HASAN Ibrahem (100291),757,756,170,Jun,2019
KUWAIT,AL-BALHAN Jaber (116737),757,756,170,Jun,2019
KUWAIT,AL-HASAN Salem (110965),757,756,170,Jun,2019
SPAIN,HAN Qiyao ^^ (143754),757,756,170,Jun,2019
SPAIN,MORATO Adrian (116636),757,756,170,Jun,2019
QATAR,ALMUGHANNE Fahed (100329),757,756,170,Jun,2019
LEBANON,EL HAKIM Rock (115722),757,756,170,Jun,2019
QATAR,AL-SADA Abdulla (100352),757,756,170,Jun,2019
QATAR,ALAWLAQI Ahmed (100189),757,756,170,Jun,2019
BULGARIA,FLORITZ Philipp ^^ (113251),757,756,170,Jun,2019
QATAR,AL-HAJAJI Abdulaziz (118947),757,756,170,Jun,2019
KUWAIT,ALRASHIDI Marzooq (116703),757,756,170,Jun,2019
SINGAPORE,YU Zong Jun Gerald (123577),757,1085,170,Jun,2019
CHINESE TAIPEI,LI Hsin-Yu (132820),757,,170,Jun,2019
CHINESE TAIPEI,TAI Ming-Wei (122724),757,,170,Jun,2019
REPUBLIC OF KOREA,JUNG Younghun (124221),757,,170,Jun,2019
REPUBLIC OF KOREA,PARK Jeongwoo (115561),757,,170,Jun,2019
INDIA,SHAH Manush Utpalbhai (131879),757,,170,Jun,2019
REPUBLIC OF KOREA,HEON Minhyuck (114485),757,,170,Jun,2019
NORTH MACEDONIA,STANOJKOVSKI Kristijan (114733),778,772,167,Jun,2019
INDIA,SRIRAM Sushmit (117031),779,445,166,Jun,2019
JAPAN,SHINOZUKA Hiroto (134442),780,774,165,Jun,2019
CHINA,ZENG Beixun (135919),780,774,165,Jun,2019
CHINA,QUAN Kaiyuan (135886),780,774,165,Jun,2019
ICELAND,ULFARSSON Magnus (124132),783,575,163,Jun,2019
TUNISIA,BEN YAHIA Kerem (116916),783,777,163,Jun,2019
AZERBAIJAN,ANSARI Mahammad Ibrahim (135258),783,779,163,Jun,2019
